admin_id,period,n,log_r2,log_mae,log_rmse,log_spearman,tc_mae,tc_rmse,r2_status
01,202208,7,-0.3664475714448412,1.9035615860320456,3.131952157396482,0.12613124477737825,219.54838229949286,271.2941587705913,ok
02,202208,12,-0.3203264809937394,0.14524231033675683,0.17209399990808638,0.1681263524012031,76.06439717762304,90.63273853198783,ok
04,202208,11,-2.8020369353902765,0.2388805558633714,0.2534939553834336,0.7272727272727273,134.88134859504638,143.88499020767972,ok
11,202208,12,-5.498371550751363,0.22116598957711622,0.2445251226905102,0.5148869542286845,117.95523918164962,130.02611850492485,ok
14,202208,11,-67.47837244409361,0.2668298742817701,0.2970834639393168,-0.31963803548405617,164.33824916859245,181.05681175326944,ok
16,202208,10,-45.21275353806681,0.2833988692060522,0.3051684203027469,-0.37232355495090164,197.85914776328605,211.64573258257985,ok
42,202208,6,0.09303803258769205,0.2113254951240305,0.24149516526104428,0.4638168285219587,117.56325679488232,129.11490638461592,ok
53,202208,14,-8.943474143489722,0.19138533606128735,0.3049866705041909,0.6615384615384616,50.73923801111504,71.31114846028015,ok
65,202208,11,-6.45058602429869,0.17236661581009488,0.20949669753657024,-0.5907999309574736,104.26638389459231,126.0231954536199,ok
