admin_id,period,n,log_r2,log_mae,log_rmse,log_spearman,tc_mae,tc_rmse,r2_status
01,202208,7,-0.37827019935920503,2.0330258717463314,3.1454719433726765,0.5585812268712466,299.24536808297654,331.4703681139649,ok
08,202208,10,-0.08048447955010185,2.004110032173833,3.394600472084544,0.12308216692591792,388.6874895768204,487.53662560233744,ok
18,202208,5,-38.66045796540051,0.2640582613923895,0.33164727749047845,0.3,131.67690373920533,160.47730479259477,ok
25,202208,29,-4.745675666552827,0.20150894442027262,0.26042662768743613,0.5791194345681999,123.53388717711177,153.40973794250723,ok
26,202208,8,-62.67324571232161,0.2110316128933022,0.25407091378789426,-0.8470243628419076,151.5035426567541,179.95059476174742,ok
36,202208,2,,3.24762106467324,4.336344987778109,0.9999999999999999,328.5803469193555,351.8326137658805,undefined_less_than_5_or_constant
38,202208,7,-2.54061130760036,0.2240201215351641,0.24589029809840168,0.6785714285714287,150.83602670447527,164.54648236647546,ok
40,202208,4,,0.1139896702795542,0.1623033261640782,0.0,72.4753578990294,102.40416641760824,undefined_less_than_5_or_constant
47,202208,1,,0.12556931332668686,0.12556931332668686,,62.85861075036786,62.85861075036786,undefined_less_than_5_or_constant
48,202208,4,,0.22952943439087714,0.23724163315734928,0.7999999999999999,96.25456850748076,100.8183486487626,undefined_less_than_5_or_constant
50,202208,9,-8.496706194354944,0.4174822912318548,0.4883429910487381,0.049999999999999996,182.18163496714098,217.0004074381785,ok
77,202208,8,-0.3356477078860505,1.8471212448752987,3.0504032771868994,0.28915662650602403,296.8675147907502,318.375329411912,ok
