admin_id,period,n,log_r2,log_mae,log_rmse,log_spearman,tc_mae,tc_rmse,r2_status
AM,202208,16,-0.19150756709226657,1.23100017413953,2.7224029885813144,0.2511045655375552,863.3566323556481,1091.260724331339,ok
BK,202208,13,-36.94217848112097,0.6223079874484191,0.676702652218115,0.17906404034477028,1685.6984280850058,1864.967228073213,ok
JW,202208,17,-0.21900972571568533,0.4567535944060022,0.6523471342831295,-0.029429803201724627,2288.852046752373,5629.603829640328,ok
ME,202208,1,,7.16796875,7.16796875,,1296.2069732040436,1296.2069732040436,undefined_less_than_5_or_constant
SE,202208,11,-92.1704578152621,0.577061427302084,0.6329314600761633,-0.22727272727272727,1369.657547003949,1606.6054275694125,ok
SM,202208,10,0.8004488031451739,0.4897356334837658,0.9378184247330614,0.6606060606060605,239.73735595461508,345.8969841546113,ok
YS,202208,25,-4.615949829663459,0.26588357960306025,0.3344766246810508,-0.1482765288420137,375.0829292546509,463.19612537757257,ok
