admin_id,period,n,log_r2,log_mae,log_rmse,log_spearman,tc_mae,tc_rmse,r2_status
CL,202208,11,-105.95555706489509,0.2009344932679,0.2215421450970383,0.0,488.6059284396941,551.6153318185194,ok
MP,202208,7,-2.196205872278407,5.2221209088995,6.168415448338483,0.5345224838248488,1210.0027662367486,1463.5330749191546,ok
OT,202208,1,,0.2129029313612012,0.2129029313612012,,649.0326131069619,649.0326131069619,undefined_less_than_5_or_constant
RC,202208,3,,2.9043798219390813,4.324643554789566,0.5,1807.9278929681032,1826.8946081243773,undefined_less_than_5_or_constant
RV,202208,2,,0.683749654152626,0.6852294997516181,-0.9999999999999999,1880.4855937251898,1887.2520553420734,undefined_less_than_5_or_constant
SV,202208,2,,0.1541452407836914,0.217174485508242,,0.17975810345654722,0.25421634785471503,undefined_less_than_5_or_constant
TH,202208,8,-10.40639335315106,0.18657385881960975,0.21793593657536542,0.30952380952380953,350.62790611324726,423.9438329269357,ok
TS,202208,59,-0.3992028828338501,1.7826494017235648,3.4580497582624514,0.5175132717631199,3443.7456329773067,23222.453555595865,ok
