period,n,log_r2,log_mae,log_rmse,log_spearman,tc_mae,tc_rmse,r2_status
202101,926,-0.03524598646193389,2.937493324683142,3.239725601804854,0.35882760165131,1292.7416040004814,5885.832218101206,ok
202102,926,0.137324267157225,2.2531034174902502,2.9265939517992368,0.6315036704972808,1038.1665377996837,5382.4128996726,ok
202103,926,0.13413044653248862,2.288289718140171,2.9756054675891956,0.6244829893833816,1164.9799490136952,6019.024764348196,ok
202104,926,0.12425548784819107,2.3038103973658606,2.9871824782600287,0.6182738836609194,1155.9071371215023,5939.290484539384,ok
202105,926,0.13491870261306438,2.3620100800309585,2.9959370257665516,0.6104243558433375,1261.7899615547854,6371.713220236049,ok
202106,926,0.1471062278070835,2.340114324466549,2.9806288950397266,0.6311598075504105,1274.3939855909387,6467.298015610691,ok
202107,926,0.14153553362802773,2.4107951882835996,2.998346325280114,0.6351782144343976,1320.7162442384138,6608.180985682617,ok
202108,926,0.1401362992000228,2.3458748626233907,2.976445374732323,0.6322710313766249,1223.9996423250511,6201.607774103493,ok
202109,926,0.125627008034906,2.2698454667110513,2.9595103945039862,0.6167865030765132,1072.7985393153936,5563.943624464162,ok
202110,926,0.06291500981238096,2.458028884597757,3.0614862054486407,0.3325769724726002,1124.0468720021377,5560.837364246928,ok
202111,926,0.03477373816672735,2.631049662483714,3.0867641709731406,0.39317868288942426,1110.3997295630484,5302.804059640856,ok
202112,926,0.018041830624434096,2.7018351058816283,3.122899049186276,0.3147809430093559,1155.0961472231725,5438.005164751191,ok
202201,926,0.16688180754156612,2.2491539450441933,2.8998668832029724,0.6417836898654594,1114.2065683505655,5735.942589633126,ok
202202,926,0.1578586788963302,2.2262267707391654,2.889471459352315,0.6380968701660992,1033.3565452296348,5357.543240036009,ok
202203,926,0.12793466460411718,2.326560680618532,2.9818756952543004,0.6101055471563842,1172.5226447463158,5962.9483140799,ok
202204,926,0.12596736115927076,2.299272981839602,2.9703726770739767,0.6174047075922444,1117.9785764191224,5737.641011582568,ok
202205,926,0.1251883281192584,2.3360070848971906,3.0065691010270634,0.6118810048346254,1231.9204862728297,6272.322836051096,ok
202206,926,0.14591309035181865,2.3312446089924173,2.9674015061549226,0.6228785451058941,1225.4519920099333,6221.276909596796,ok
202207,926,0.14789954946189743,2.341661687708204,2.9774983197719855,0.6255838736114033,1274.7237713812567,6443.962590197907,ok
202208,926,0.16442176167837608,2.2826583968764074,2.9277746362949824,0.6293383035059041,1195.0173663672863,6103.242060260914,ok
202209,926,0.20243981561831847,2.158817438910782,2.8152368841425526,0.643819669845371,1034.7411763432306,5403.076832985365,ok
202210,926,0.06837944816861419,2.599774159566952,3.039390967699288,0.49288178007865235,1129.7477136759069,5394.767836237521,ok
202211,926,0.10190507974049212,2.328692847946934,2.955249737285592,0.4192888519337514,989.7950892303618,4995.56029254524,ok
202212,926,0.20447759309185753,2.178729721220815,2.7775731387362876,0.661601291779457,948.1646267479599,4935.49519305155,ok
202301,926,0.1332006208135612,2.328962007452193,2.968015521823389,0.6127516375249877,1161.7314784792923,5889.984714057239,ok
202302,926,0.13472272638528804,2.272417627675617,2.938993346727623,0.6103182239279681,1071.7699213715928,5499.884272347755,ok
202303,926,0.1360649475286716,2.317237820097542,2.978039717895334,0.6135478435623664,1200.2074668042942,6116.969295218902,ok
202304,926,0.1306817365799443,2.287154213195402,2.97247743735407,0.6099855159457127,1145.689073417747,5886.078299352456,ok
202305,926,0.12716333828954596,2.3396318172288404,3.013323959879086,0.6051565839733543,1265.481543132035,6436.008080311786,ok
202306,926,0.13173267066905503,2.3240151945230414,3.002057722124117,0.6118748480394558,1246.7632467765554,6378.6379437517735,ok
202307,926,0.13202296009244707,2.365177402789377,3.0152325666946926,0.6071461650584827,1309.2016440948548,6611.127270306919,ok
202308,926,0.13196355180997976,2.310308314085325,2.994219424267931,0.5999372486228532,1221.57673280689,6258.0755048773835,ok
202309,926,0.11915926434220436,2.2381799095468478,2.968761082423074,0.6108461874503721,1057.1759120847105,5539.456671849424,ok
202310,926,0.1244365572286984,2.228210189474509,2.956689600701756,0.6194564372767561,1046.2893940235847,5495.0980122594565,ok
202311,926,0.1253453550557666,2.213640070444811,2.9265799206843965,0.6155564976830418,971.9949755299398,5109.770772304712,ok
202312,926,0.08744003006235967,2.4731732347056035,2.9852520649252883,0.44330643858021246,1035.6055456627878,5088.225673054473,ok
