admin_id,period,n,log_r2,log_mae,log_rmse,log_spearman,tc_mae,tc_rmse,r2_status
109,202208,5,-74.61696475981326,0.5103032845571145,0.5610530976547943,0.7,215.51561699741038,226.76218240938263,ok
110,202208,5,-27.313803244278922,0.30257232442637516,0.31070656450543355,0.35909242322980395,144.75683529254633,148.31288630609,ok
202,202208,8,-0.253295426744383,1.039665239828608,2.1845656711324084,0.4761904761904762,171.29024235602708,208.9805773825961,ok
204,202208,7,-11.327999961580229,0.18204157141175006,0.18776253304069887,0.7567874686642697,94.33856580392593,97.01694692355645,ok
205,202208,6,-19747.909072119364,0.1766983465153893,0.1904739920015965,-0.39279220242478635,91.31949192888703,97.65312843823168,ok
206,202208,9,-5.546767721093566,0.25536263592000563,0.31014290235762965,0.36820405985251814,124.75301012762286,156.18789923433752,ok
208,202208,15,0.05249203037345851,0.5360584061101344,1.4458347374148304,0.4464285714285714,73.64727295659797,101.94677945597695,ok
212,202208,25,-0.8678489659528528,0.21687318891465204,0.27491487424734323,-0.1827977713270839,71.2814841521412,88.10892576926744,ok
305,202208,21,-0.009571563616008083,0.23534000894988386,0.367962895974595,0.33734172679559926,89.23830310106462,158.96889825297777,ok
313,202208,11,-3.0414148798513096,0.4705620789057033,0.5386003605057215,0.5662100456621004,118.0757393588376,131.51444488734327,ok
